iter	Passed	Remaining
693	11036	4866
694	11053	4851
695	11072	4836
696	11088	4820
697	11105	4804
698	11121	4789
699	11138	4773
700	11154	4757
701	11169	4741
702	11185	4725
703	11201	4709
704	11217	4693
705	11232	4677
706	11249	4661
707	11265	4646
708	11281	4630
709	11297	4614
710	11313	4598
711	11328	4582
712	11344	4566
713	11360	4550
714	11376	4534
715	11391	4518
716	11407	4502
717	11424	4487
718	11440	4471
719	11457	4455
720	11472	4439
721	11488	4423
722	11506	4408
723	11522	4392
724	11537	4376
725	11554	4360
726	11570	4344
727	11586	4328
728	11601	4312
729	11617	4296
730	11633	4280
731	11649	4265
732	11665	4249
733	11682	4233
734	11698	4217
735	11714	4201
736	11730	4185
737	11746	4170
738	11762	4154
739	11778	4138
740	11793	4122
741	11809	4106
742	11824	4090
743	11840	4074
744	11855	4057
745	11871	4041
746	11886	4025
747	11902	4009
748	11917	3993
749	11933	3977
750	11948	3961
751	11964	3945
752	11980	3930
753	11996	3913
754	12012	3898
755	12029	3882
756	12044	3866
757	12061	3850
758	12077	3834
759	12092	3818
760	12108	3802
761	12124	3786
762	12139	3770
763	12155	3754
764	12171	3738
765	12187	3723
766	12203	3707
767	12219	3691
768	12235	3675
769	12251	3659
770	12267	3643
771	12282	3627
772	12299	3611
773	12315	3595
774	12331	3580
775	12347	3564
776	12362	3548
777	12378	3532
778	12394	3516
779	12410	3500
780	12426	3484
781	12442	3468
782	12458	3452
783	12474	3436
784	12490	3420
785	12506	3405
786	12523	3389
787	12538	3373
788	12554	3357
789	12570	3341
790	12586	3325
791	12603	3309
792	12619	3294
793	12635	3278
794	12651	3262
795	12667	3246
796	12683	3230
797	12698	3214
798	12714	3198
799	12730	3182
800	12746	3166
801	12761	3150
802	12777	3134
803	12793	3118
804	12810	3103
805	12825	3087
806	12841	3071
807	12857	3055
808	12872	3039
809	12889	3023
810	12905	3007
811	12921	2991
812	12937	2975
813	12953	2959
814	12968	2943
815	12984	2927
816	13000	2911
817	13015	2895
818	13031	2880
819	13047	2864
820	13062	2847
821	13078	2832
822	13093	2816
823	13109	2800
824	13124	2784
825	13140	2768
826	13155	2752
827	13171	2736
828	13187	2720
829	13203	2704
830	13218	2688
831	13235	2672
832	13251	2656
833	13266	2640
834	13282	2624
835	13297	2608
836	13313	2592
837	13328	2576
838	13344	2560
839	13361	2544
840	13376	2528
841	13392	2513
842	13408	2497
843	13424	2481
844	13439	2465
845	13455	2449
846	13470	2433
847	13486	2417
848	13502	2401
849	13518	2385
850	13534	2369
851	13550	2353
852	13565	2337
853	13581	2321
854	13596	2305
855	13612	2289
856	13627	2273
857	13642	2257
858	13658	2241
859	13674	2226
860	13689	2210
861	13705	2194
862	13721	2178
863	13736	2162
864	13752	2146
865	13768	2130
866	13783	2114
867	13800	2098
868	13815	2082
869	13831	2066
870	13847	2050
871	13863	2035
872	13879	2019
873	13894	2003
874	13909	1987
875	13926	1971
876	13941	1955
877	13956	1939
878	13972	1923
879	13988	1907
880	14004	1891
881	14020	1875
882	14036	1859
883	14052	1844
884	14068	1828
885	14084	1812
886	14100	1796
887	14116	1780
888	14132	1764
889	14148	1748
890	14163	1732
891	14180	1716
892	14195	1700
893	14212	1685
894	14228	1669
895	14244	1653
896	14260	1637
897	14276	1621
898	14291	1605
899	14307	1589
900	14323	1573
901	14339	1557
902	14355	1542
903	14370	1526
904	14386	1510
905	14403	1494
906	14418	1478
907	14434	1462
908	14450	1446
909	14466	1430
910	14482	1414
911	14498	1398
912	14514	1383
913	14530	1367
914	14546	1351
915	14561	1335
916	14577	1319
917	14592	1303
918	14608	1287
919	14623	1271
920	14639	1255
921	14655	1239
922	14671	1223
923	14687	1208
924	14702	1192
925	14718	1176
926	14733	1160
927	14749	1144
928	14765	1128
929	14780	1112
930	14796	1096
931	14811	1080
932	14827	1064
933	14843	1048
934	14858	1032
935	14874	1017
936	14890	1001
937	14905	985
938	14921	969
939	14936	953
940	14952	937
941	14967	921
942	14983	905
943	14999	889
944	15015	873
945	15030	857
946	15046	842
947	15062	826
948	15077	810
949	15094	794
950	15109	778
951	15124	762
952	15140	746
953	15156	730
954	15172	714
955	15188	699
956	15203	683
957	15218	667
958	15235	651
959	15250	635
960	15266	619
961	15282	603
962	15297	587
963	15313	571
964	15329	555
965	15345	540
966	15361	524
967	15377	508
968	15393	492
969	15409	476
970	15425	460
971	15441	444
972	15456	428
973	15473	413
974	15489	397
975	15505	381
976	15521	365
977	15537	349
978	15553	333
979	15568	317
980	15584	301
981	15600	285
982	15616	270
983	15632	254
984	15648	238
985	15664	222
986	15679	206
987	15695	190
988	15710	174
989	15726	158
990	15741	142
991	15757	127
992	15773	111
993	15788	95
994	15804	79
995	15820	63
996	15836	47
997	15851	31
998	15867	15
999	15882	0
