iter	Passed	Remaining
554	20472	16414
555	20528	16393
556	20591	16377
557	20654	16360
558	20711	16339
559	20769	16319
560	20823	16295
561	20860	16257
562	20907	16228
563	20968	16209
564	21017	16181
565	21058	16147
566	21107	16119
567	21210	16131
568	21371	16188
569	21435	16170
570	21468	16129
571	21505	16091
572	21541	16052
573	21573	16010
574	21609	15971
575	21650	15937
576	21685	15897
577	21721	15858
578	21768	15828
579	21822	15802
580	21882	15781
581	21941	15758
582	21968	15713
583	22004	15674
584	22040	15635
585	22073	15594
586	22112	15557
587	22148	15518
588	22180	15477
589	22218	15440
590	22265	15408
591	22330	15390
592	22385	15363
593	22447	15343
594	22486	15305
595	22526	15269
596	22569	15235
597	22608	15198
598	22652	15164
599	22694	15129
600	22736	15094
601	22801	15074
602	22885	15066
603	22959	15052
604	23028	15035
605	23098	15017
606	23165	14998
607	23230	14977
608	23315	14969
609	23388	14953
610	23447	14928
611	23515	14908
612	23582	14888
613	23652	14869
614	23728	14854
615	23811	14843
616	23880	14823
617	23946	14801
618	24008	14777
619	24073	14754
620	24158	14743
621	24217	14717
622	24292	14700
623	24346	14670
624	24405	14643
625	24456	14611
626	24512	14582
627	24571	14555
628	24624	14524
629	24672	14490
630	24719	14455
631	24770	14423
632	24819	14389
633	24862	14352
634	24906	14316
635	24958	14284
636	25003	14248
637	25049	14212
638	25095	14177
639	25200	14175
640	25299	14169
641	25349	14135
642	25398	14101
643	25452	14070
644	25507	14038
645	25555	14004
646	25603	13969
647	25650	13933
648	25699	13899
649	25746	13863
650	25790	13826
651	25836	13789
652	25882	13753
653	25923	13714
654	25964	13675
655	26008	13638
656	26050	13599
657	26094	13562
658	26134	13523
659	26181	13487
660	26229	13452
661	26281	13418
662	26326	13381
663	26370	13343
664	26406	13302
665	26448	13264
666	26493	13226
667	26561	13201
668	26645	13183
669	26723	13162
670	26798	13139
671	26887	13123
672	26977	13107
673	27051	13084
674	27098	13047
675	27144	13009
676	27190	12972
677	27230	12932
678	27272	12893
679	27313	12853
680	27360	12816
681	27407	12779
682	27457	12743
683	27508	12708
684	27554	12670
685	27608	12637
686	27657	12600
687	27708	12565
688	27755	12528
689	27804	12491
690	27846	12452
691	27887	12412
692	27934	12375
693	27977	12335
694	28023	12298
695	28068	12259
696	28127	12227
697	28172	12189
698	28218	12151
699	28261	12111
700	28307	12074
701	28353	12036
702	28399	11998
703	28443	11959
704	28485	11919
705	28523	11878
706	28568	11839
707	28612	11800
708	28652	11759
709	28700	11722
710	28745	11684
711	28789	11645
712	28836	11607
713	28882	11569
714	28928	11531
715	28971	11491
716	29016	11452
717	29051	11410
718	29093	11370
719	29136	11330
720	29177	11290
721	29225	11252
722	29269	11213
723	29313	11174
724	29353	11134
725	29395	11094
726	29431	11052
727	29466	11009
728	29500	10966
729	29536	10924
730	29566	10880
731	29598	10836
732	29632	10793
733	29664	10750
734	29697	10707
735	29731	10664
736	29770	10623
737	29812	10583
738	29852	10543
739	29894	10503
740	29938	10464
741	29979	10424
742	30014	10381
743	30059	10342
744	30093	10300
745	30125	10257
746	30159	10214
747	30194	10172
748	30229	10130
749	30266	10088
750	30303	10047
751	30346	10007
752	30392	9969
753	30434	9929
754	30488	9893
755	30526	9852
756	30567	9812
757	30614	9773
758	30652	9732
759	30695	9693
760	30729	9650
761	30761	9608
762	30798	9566
763	30838	9526
764	30874	9484
765	30908	9442
766	30939	9398
767	30973	9356
768	31005	9313
769	31036	9270
770	31075	9229
771	31112	9188
772	31145	9146
773	31175	9103
774	31211	9061
775	31246	9019
776	31284	8978
777	31317	8936
778	31350	8893
779	31386	8852
780	31419	8810
781	31451	8767
782	31493	8728
783	31522	8684
784	31559	8643
785	31595	8602
786	31628	8560
787	31661	8518
788	31696	8476
789	31733	8435
790	31768	8393
791	31810	8354
792	31846	8312
793	31884	8272
794	31919	8230
795	31952	8188
796	31983	8146
797	32019	8105
798	32051	8063
799	32090	8022
800	32125	7981
801	32177	7944
802	32209	7901
803	32244	7860
804	32280	7819
805	32317	7778
806	32354	7737
807	32388	7696
808	32421	7654
809	32467	7615
810	32572	7590
811	32636	7556
812	32670	7514
813	32702	7472
814	32735	7430
815	32771	7389
816	32804	7347
817	32841	7306
818	32881	7266
819	32917	7225
820	32957	7185
821	32992	7144
822	33028	7103
823	33067	7062
824	33100	7021
825	33150	6983
826	33191	6943
827	33233	6903
828	33279	6864
829	33323	6825
830	33366	6785
831	33403	6744
832	33436	6703
833	33474	6662
834	33510	6621
835	33543	6580
836	33577	6539
837	33610	6497
838	33638	6455
839	33672	6413
840	33710	6373
841	33760	6335
842	33801	6295
843	33845	6255
844	33891	6216
845	33929	6176
846	33965	6135
847	34004	6095
848	34043	6054
849	34079	6014
850	34115	5973
851	34151	5932
852	34193	5892
853	34233	5852
854	34281	5813
855	34331	5775
856	34376	5736
857	34412	5695
858	34459	5656
859	34500	5616
860	34547	5577
861	34591	5537
862	34634	5498
863	34686	5459
864	34725	5419
865	34763	5379
866	34798	5338
867	34842	5298
868	34889	5259
869	34929	5219
870	34976	5180
871	35016	5140
872	35055	5099
873	35091	5058
874	35124	5017
875	35160	4977
876	35193	4935
877	35226	4894
878	35259	4853
879	35292	4812
880	35327	4771
881	35357	4730
882	35396	4690
883	35440	4650
884	35487	4611
885	35535	4572
886	35576	4532
887	35621	4492
888	35659	4452
889	35703	4412
890	35741	4372
891	35773	4331
892	35804	4290
893	35839	4249
894	35871	4208
895	35905	4167
896	35938	4126
897	35971	4085
898	36006	4045
899	36043	4004
900	36085	3965
901	36126	3925
902	36177	3886
903	36223	3846
904	36267	3807
905	36306	3766
906	36344	3726
907	36383	3686
908	36414	3645
909	36452	3605
910	36487	3564
911	36521	3523
912	36557	3483
913	36597	3443
914	36630	3402
915	36664	3362
916	36698	3321
917	36730	3280
918	36764	3240
919	36798	3199
920	36832	3159
921	36863	3118
922	36899	3078
923	36929	3037
924	36964	2997
925	36998	2956
926	37029	2916
927	37061	2875
928	37095	2835
929	37130	2794
930	37162	2754
931	37193	2713
932	37225	2673
933	37259	2632
934	37296	2592
935	37327	2552
936	37364	2512
937	37410	2472
938	37458	2433
939	37502	2393
940	37546	2354
941	37588	2314
942	37632	2274
943	37669	2234
944	37708	2194
945	37749	2154
946	37794	2115
947	37840	2075
948	37884	2035
949	37924	1996
950	37968	1956
951	38004	1916
952	38051	1876
953	38097	1836
954	38138	1797
955	38179	1757
956	38222	1717
957	38265	1677
958	38306	1637
959	38351	1597
960	38386	1557
961	38429	1517
962	38467	1477
963	38507	1438
964	38549	1398
965	38586	1358
966	38626	1318
967	38663	1278
968	38697	1238
969	38736	1198
970	38769	1157
971	38803	1117
972	38839	1077
973	38872	1037
974	38901	997
975	38934	957
976	38969	917
977	39002	877
978	39036	837
979	39067	797
980	39098	757
981	39130	717
982	39164	677
983	39197	637
984	39229	597
985	39263	557
986	39295	517
987	39329	477
988	39361	437
989	39396	397
990	39430	358
991	39465	318
992	39497	278
993	39531	238
994	39566	198
995	39599	159
996	39631	119
997	39664	79
998	39697	39
999	39730	0
